id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
7213486390,7213486390,2009-12-30 18:54:23 SA Pacific Standard Time,2009-12-30,18:54:23,-0500,74318460,veronicagil_,Oli,,Nos llevamos el agua de medellin para allá.. u.u,es,[],[],[],0,0,0,[],[],https://twitter.com/veronicaGil_/status/7213486390,False,,0,,,,,,,,[],,,,
7213463980,7213463980,2009-12-30 18:53:36 SA Pacific Standard Time,2009-12-30,18:53:36,-0500,18172386,radiosantafentc,Radio SantaFe,,"Capturan vendedores de estupefacientes en Medellín: Unidades del Cuerpo Técnico de Investigación, CTI, capturaro...  http://bit.ly/7uXEKE",es,[],[],[],0,0,0,[],[],https://twitter.com/radiosantafentc/status/7213463980,False,,0,,,,,,,,[],,,,
7213452176,7213452176,2009-12-30 18:53:10 SA Pacific Standard Time,2009-12-30,18:53:10,-0500,14128807,juanchulas,Juan.,,"RT @ElChorro_: Primero que colombiano, soy Antioqueño, y primero que antioqueño soy de Medallo",es,"[{'screen_name': 'elchorro_', 'name': 'sebastian restrepo v', 'id': '39586608'}]",[],[],0,0,0,[],[],https://twitter.com/juanchulas/status/7213452176,False,,0,,,,,,,,[],,,,
7213429187,7213429187,2009-12-30 18:52:21 SA Pacific Standard Time,2009-12-30,18:52:21,-0500,39586608,elchorro_,Sebastian Restrepo V,,"Primero que colombiano, soy Antioqueño, y primero que antioqueño soy de Medallo",es,[],[],[],0,0,0,[],[],https://twitter.com/ElChorro_/status/7213429187,False,,0,,,,,,,,[],,,,
7213374725,7213311229,2009-12-30 18:50:26 SA Pacific Standard Time,2009-12-30,18:50:26,-0500,72726606,danijime20,Daniela Jimenez,,@NOMARCARTEL  aquin en medellin la han pedido todo el dia no para de sonar!,es,[],[],[],0,0,0,[],[],https://twitter.com/danijime20/status/7213374725,False,,0,,,,,,,,[],,,,
7213360528,7213311229,2009-12-30 18:49:56 SA Pacific Standard Time,2009-12-30,18:49:56,-0500,72726606,danijime20,Daniela Jimenez,,@NOMARCARTEL nomar para llamar desde medellin tambien?,es,[],[],[],0,0,0,[],[],https://twitter.com/danijime20/status/7213360528,False,,0,,,,,,,,[],,,,
7213342340,7213342340,2009-12-30 18:49:17 SA Pacific Standard Time,2009-12-30,18:49:17,-0500,24628600,santigalvez,Santi,,@yosoycamo como anda medallo ? mañana charlamos !!!!!! #senosacaboelaño :s,es,[],[],[],0,0,0,['senosacaboelaño'],[],https://twitter.com/SantiGalvez/status/7213342340,False,,0,,,,,,,,[],,,,
7213334668,7213297137,2009-12-30 18:49:01 SA Pacific Standard Time,2009-12-30,18:49:01,-0500,14128807,juanchulas,Juan.,,@ElChorro_ paisas y caleñas ......... pilsen y poker..... las dos.............. pero mire que primero lo de medallo jojojojojojo,es,[],[],[],0,0,0,[],[],https://twitter.com/juanchulas/status/7213334668,False,,0,,,,,,,,[],,,,
7213225444,7213024643,2009-12-30 18:45:11 SA Pacific Standard Time,2009-12-30,18:45:11,-0500,72726606,danijime20,Daniela Jimenez,,"@NOMARCARTEL  ya mismo llamo desde medellin colombia, siempre activad@s",es,[],[],[],0,0,0,[],[],https://twitter.com/danijime20/status/7213225444,False,,0,,,,,,,,[],,,,
7213042925,7213042925,2009-12-30 18:38:43 SA Pacific Standard Time,2009-12-30,18:38:43,-0500,34798360,piedadcordoba,Piedad Córdoba,,"Compartiendo con dirigentes sociales y populares en medellín, despidiendo el año   http://twitpic.com/vxvbp -comunicado  http://bit.ly/687hIk",es,[],[],[],0,0,0,[],[],https://twitter.com/piedadcordoba/status/7213042925,False,,0,,,,,,,,[],,,,
7213016032,7213016032,2009-12-30 18:37:45 SA Pacific Standard Time,2009-12-30,18:37:45,-0500,75673623,anita_medellin,Ana Medellín 🔮🌙,,about to get a hair cut! ;),en,[],[],[],0,0,0,[],[],https://twitter.com/anita_medellin/status/7213016032,False,,0,,,,,,,,[],,,,
7212866313,7211117282,2009-12-30 18:32:26 SA Pacific Standard Time,2009-12-30,18:32:26,-0500,32180997,graupix,Sònia Graupera,,"@VisitThailand1 @womanontheroad @Crash905 Flying 2morrow to Medellín (Colombia),lovely country too",en,"[{'screen_name': 'crash905', 'name': 'jahaha', 'id': '891428972340416512'}]",[],[],0,0,0,[],[],https://twitter.com/Graupix/status/7212866313,False,,0,,,,,,,,[],,,,
7212713489,7212713489,2009-12-30 18:27:03 SA Pacific Standard Time,2009-12-30,18:27:03,-0500,14112481,jorgetobon,Jorge A. Tobón V.,,Está mañana firmé decreto para construcción de 3 nuevos colegios en Medellín #tweetsdelfuturo,es,[],[],[],0,0,0,['tweetsdelfuturo'],[],https://twitter.com/jorgetobon/status/7212713489,False,,0,,,,,,,,[],,,,
7212661798,7212609413,2009-12-30 18:25:14 SA Pacific Standard Time,2009-12-30,18:25:14,-0500,72726606,danijime20,Daniela Jimenez,,"@italiano947 siempre aca pa ti, medellin a fuego jaja",es,[],[],[],0,0,0,[],[],https://twitter.com/danijime20/status/7212661798,False,,0,,,,,,,,[],,,,
